URL,Car Name,Car Year,Location,Price,Description,Mileage (KM),Engine Capacity (L),پیشرانه,Acceleration (s),Fuel Consumption (L/100km)
https://bama.ir/car/detail-lfr2c3qu-changan-cs55plus-1.5liter-2024,,,تهران / جمال‌زاده,,"بیمه و گارانتی فول 
تحویل فوری 
کارشناسی شده",0.0,1.5,4 سیلندر توربوشارژ (JL473ZQ7),,6.6
https://bama.ir/car/detail-2vdmnaa0-mvm-x55pro-ie-1403,Mvm X55Pro Ie,2024,تهران / آرژانتین,1750000000.0, اماده تحویل ، سند آزاد ، بیمه ۱۲ ماه ، فول امکانات ، ۱۵۰۰ سی سی توربو ، صندلی عقب تاشو ، اتوهلد، ترمز پارک برقی ، ۶ کیسه هوا ۱۰ نقطه ای ، موتور زنجیر تایم ، شتاب ۱۰ ثانیه ، شارژر وایرلس، کی لس استارتر ، سنسور نور ، کول باکس و…,0.0,1.5,4 سیلندر توربوشارژ بهینه شده,,
https://bama.ir/car/detail-jgjndp5h-lamari-eama-1403,Lamari Eama,2024,تهران / جمال‌زاده,,"بیمه و گارانتی فول 
تحویل فوری 
کارشناسی شده",0.0,1.5,4 سیلندر توربوشارژ (4A95TD),9.5,
https://bama.ir/car/detail-rwrzhbig-mitsubishi-outlander-type3-2017,Mitsubishi Outlander Type3,2017,اصفهان / بزرگراه خلیج فارس ( مرق),2590000000.0,فول تیپ ۳ ، کارکرد واقعی ، همه سرویس‌های دوره‌ای در نمایندگی انجام شده ، فروش فوری,207000.0,2.4,4 سیلندر,10.5,9.3
https://bama.ir/car/detail-ensgy78o-volkswagen-id4crozz-pure-2024,Volkswagen Id4Crozz Pure,2024,اصفهان / بزرگراه خلیج فارس ( مرق),3570000000.0,اماده تحویل فوری با پلاک و مدارک خرید مستقیم از نمایندگی,0.0,,1 موتور الکتریکی,9.0,
https://bama.ir/car/detail-hgdo3txk-mg-gt-2024,Mg Gt,2024,تهران / سعادت‌آباد,,"نمایندگی رسمی 341 فردا موتور
گروه خودرویی دلیلی بزرگترین شبکه نمایندگی های مجاز خودرویی در ایران
فروش به صورت نقد و اقساط
برای اطلاعات بیشتر با کارشناسان ما درارتباط باشید و یا به پیج اینستاگرام وسایت مامراجعه نمایید",0.0,1.5,4 سیلندر توربوشارژ (15C4E),8.5,5.9
https://bama.ir/car/detail-edb8hjcr-fownix-arrizo6pro-1403,Fownix Arrizo6Pro,2024,تهران / سی متری جی,1825000000.0,"توضیحات
⚜️اتوگالری خسروشاهی⚜️
✅امکان تعویض با خودروی کارکرده ی شما با شرایط ویژه
🔴قیمت خودرو به صورت پایه میباشد لطفا برای استعلام قیمت تماس بگیرید🔴
مجوز رسمی و قانونی از اتحادیه نمایشگاه داران خودرو
✅تجربه خرید مطمئن
✅تسویه بعد از تحویل خودرو
✅پلاک شده و سند ازاد
✅یک سال بیمه 
✅ضمانت کارشناسی رنگ بدنه و فنی خودرو 
برای استعلام قیمت تماس بگیرید",0.0,1.5,4 سیلندر توربوشارژ (4T15C),10.5,6.9
https://bama.ir/car/detail-l9azq6xi-samand-soren-plusxu7p-1403,Samand Soren Plusxu7P,2024,تهران / جمهوری,712000000.0,"فروش خودرو کریم پور 
مرکز خرید و فروش انواع خودروهای صفرکیلومتر
بیش از 25 سال سابقه درخشان عضو رسمی اتحادیه 
⚫ امکان معاوضه خودروهای صفر و کارکرده⚫
امکان رویت و کارشناسی خودرو قبل از پرداخت وجه ⚫
خودروها دارای گارانتی،بیمه شخص ثالث،70%تخفیف بیمه بدنه ⚫
جهت مشاوره و اطلاع از قیمت واقعی انواع خودروها با کارشناسان فروش ما درتماس باشید",0.0,1.8,4 سیلندر XU7P,13.0,7.0
https://bama.ir/car/detail-sy9cuplf-mercedesbenz-clsclass-cls500-2013,Mercedesbenz Clsclass Cls500,2013,تهران / سعادت‌آباد,14900000000.0,cls 500 مدل ۲۰۱۳ فول کامل سیستم صوتی هارمن، نایت ویژن، رادار، داینامیک سیت ،ماساژور و... بدون تصادف و رنگ شدگی فوق العاده استثنایی فنی در حد صفر,50000.0,4.7,8 سیلندر تویین توربوشارژ,5.2,9.0
https://bama.ir/car/detail-p5i2yob4-kmc-a5-1.5literturbo-1404,,,تهران / پیروزی,1565000000.0,"⭕️نمایندگی مجاز کرمان موتور کد 1762⭕️
⭕️ ثبت نام کی ام سی A5
⭕️امکان انتخاب رنگ دلخواه بدون اختلاف قیمت
⭕️ جهت کسب اطلاعات بیشتر با همکاران ما در تماس باشید.",0.0,1.5,4 سیلندر توربوشارژ (DG15T),,7.8
https://bama.ir/car/detail-nv7mnu18-kmc-t8-1402,Kmc T8,2023,محمود آباد,1585000000.0,تمامی سرویس ها انجام شده و ماشین هیچ گونه مشکلی ندارد.کوچکترین برخورد هم نداشته،لیسه و اینا ندارد,50000.0,2.0,4 سیلندر توربوشارژ یورو5,,
https://bama.ir/car/detail-gky1dqaa-fownix-fx-awdpremium-1404,Fownix Fx Awdpremium,2025,تهران / سعادت آباد,2273000000.0,"⚡ نمایندگی های پورسعیدخلیلی⚡
⚡نمایندگی کد ۳۴۲ مدیران خودرو
⚡با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز
⚡فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها
✅امکان تسویه زودتر از موعد باحذف سود
✅سند۶دونگ به نام
✅اسنپ رایگان تا نمایندگی
✅با بهترین سرویس ها درخدمت شما عزیزانیم
",0.0,,,,
https://bama.ir/car/detail-1zcufhvi-mercedesbenz-eclass-e350-2010,Mercedesbenz Eclass E350,2010,تهران / شهرک غرب,3400000000.0,فول  زیر قیمت,120000.0,,,,
https://bama.ir/car/detail-elbwsrxg-quick-manuals-1402,Quick Manuals,2023,تهران / صادقیه,445000000.0,ماشین از صفر دست خودم بوده بدون هیچ مشکلی کاملا خانگی گارانتی داره بیمه هم چهار ماه داره مناسب مصرف کننده. تخفیف برای مصرف کننده,29000.0,1.5,4 سیلندر M15,13.0,7.1
https://bama.ir/car/detail-cuvozksa-lexus-nxhybrid-300hfsport-2017,Lexus Nxhybrid 300Hfsport,2017,تهران / نیاوران,,با سلام و خوش آمد گویی خدمت شما بیننده گرامی اتومبیل فوق به شرط کارشناسی فنی و بدنه میباشدمشخصات به شرح ذیل است: فول7 کلید،سند قدیم،کارکرد واقعی به شرط نمایندگی ،تریم داخل مارون(فروش به صورت نقدی یا معاوضه با اتومبیل) جهت اطلاعات بیشتر و هماهنگی برای بازدید با آقای مهرزاد تماس حاصل فرمایید. ساعات کاری : شنبه تا چهارشنبه 9 الی 20 پنج شنبه 9الی14 جمعه تا پایان سال 10الی 15با پارکینگ اختصاصی,4500.0,2.5,4 سیلندر با موتور الکتریکی,9.2,5.1
https://bama.ir/car/detail-bidrnzfh-mvm-x55pro-ie-1403,Mvm X55Pro Ie,2024,تهران / سعادت آباد,1515000000.0,"⚡ نمایندگی های پورسعیدخلیلی⚡
⚡نمایندگی کد ۳۴۲ مدیران خودرو
⚡با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز
⚡فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها
⚡شرایط ویژه برای سازمان های دولتی،پرسنل بانک ها،پزشکان و ...
✅امکان تسویه زودتر از موعد باحذف سود
✅سند۶دونگ به نام
✅اسنپ رایگان تا نمایندگی
✅با بهترین سرویس ها درخدمت شما عزیزانیم
",0.0,1.5,4 سیلندر توربوشارژ بهینه شده,,
https://bama.ir/car/detail-pyeltzor-fownix-arrizo6gt-excellent-1404,Fownix Arrizo6Gt Excellent,2025,تهران / سعادت آباد,16960000000.0,"⚡ نمایندگی های پورسعیدخلیلی⚡
⚡نمایندگی کد ۳۴۲ مدیران خودرو
⚡با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز
⚡فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها
✅امکان تسویه زودتر از موعد باحذف سود
✅سند۶دونگ به نام
✅اسنپ رایگان تا نمایندگی
✅با بهترین سرویس ها درخدمت شما عزیزانیم
",0.0,1.6,4 سیلندر توربوشارژ (4J16),7.6,6.6
https://bama.ir/car/detail-anljetxr-mvm-x33cross-at-1404,Mvm X33Cross At,2025,تهران / سعادت آباد,1083000000.0,"⚡ نمایندگی های پورسعیدخلیلی⚡
⚡نمایندگی کد ۳۴۲ مدیران خودرو
⚡با بزرگترین شعب فروش و خدمات پس از فروش به همراه بهترین امکانات برای شما مشتریان عزیز
⚡فروش ویژه تلفنی و غیرحضوری برای کلیه استان ها
✅امکان تسویه زودتر از موعد باحذف سود
✅سند۶دونگ به نام
✅اسنپ رایگان تا نمایندگی
✅با بهترین سرویس ها درخدمت شما عزیزانیم
",0.0,1.0,3 سیلندر توربوشارژ,,6.1
https://bama.ir/car/detail-83lfeqnj-toyota-corollahybrid-1.8liter-2023,,,تهران / پاتریس لومومبا,,اتو گالری گلچین  - رادار - سانروف - دکمه اکو مود- نور بالا اتوماتیک - اتو هلد - ترمز پارک برقی - سنسور پارک- فروش یا معاوضه,0.0,,,,
https://bama.ir/car/detail-9mfsvla5-quick-atfullplus-1402,Quick Atfullplus,2023,تهران / مرزداران,590000000.0,  دارای استارتر کیلس کروز کنترل کاملن سالم و کارمندی . گارانتی فعال . تودوزی چرم فابریک . دارای بال عقب و باکس زبردستی سرنشینان جلو,12000.0,1.5,4 سیلندر M15,13.6,7.0
